     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         0,         0,   0.011,pymatching,2fd22843942c0d1c497107b370af66e13c00ab0b9d1d3bde71f7503344d031ac,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.0005,""r"":36}",
        17,         0,         0,   0.011,pymatching,773d8bdda1775903b1f0e2e72df3dd0f0240a6e3168561b48be58f3b365ae71d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.000646,""r"":36}",
        17,         0,         0,   0.011,pymatching,2fd22843942c0d1c497107b370af66e13c00ab0b9d1d3bde71f7503344d031ac,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.0005,""r"":36}",
        17,         0,         0,   0.011,pymatching,2fd22843942c0d1c497107b370af66e13c00ab0b9d1d3bde71f7503344d031ac,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.0005,""r"":36}",
        17,         0,         0,   0.012,pymatching,773d8bdda1775903b1f0e2e72df3dd0f0240a6e3168561b48be58f3b365ae71d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.000646,""r"":36}",
        17,         0,         0,   0.011,pymatching,773d8bdda1775903b1f0e2e72df3dd0f0240a6e3168561b48be58f3b365ae71d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.000646,""r"":36}",
        17,         0,         0,   0.011,pymatching,169ed019aabd5072be2183a741f1c101ec8f8b01da6e2b2015e02ff3e9f42576,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.010,pymatching,48911d0b0daaeed5b5458fea783db411b4b6f2268cce0b2a2a7e6fa7ecad4dc0,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.000646,""r"":36}",
       256,         0,         0,   0.014,pymatching,2fd22843942c0d1c497107b370af66e13c00ab0b9d1d3bde71f7503344d031ac,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.0005,""r"":36}",
        17,         0,         0,   0.011,pymatching,48911d0b0daaeed5b5458fea783db411b4b6f2268cce0b2a2a7e6fa7ecad4dc0,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.000646,""r"":36}",
        17,         0,         0,   0.011,pymatching,169ed019aabd5072be2183a741f1c101ec8f8b01da6e2b2015e02ff3e9f42576,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.0005,""r"":36}",
        17,         0,         0,   0.011,pymatching,169ed019aabd5072be2183a741f1c101ec8f8b01da6e2b2015e02ff3e9f42576,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.0005,""r"":36}",
       256,         0,         0,   0.017,pymatching,773d8bdda1775903b1f0e2e72df3dd0f0240a6e3168561b48be58f3b365ae71d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""si1000"",""p"":0.000646,""r"":36}",
