     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
3345,126,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,106,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,122,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,121,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,125,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,134,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,139,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,137,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,136,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,120,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,112,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
3345,136,0,0.01,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
5120,204,0,0.014,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
5120,201,0,0.014,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
6144,214,0,0.016,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
5120,175,0,0.015,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
6144,270,0,0.016,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
6144,245,0,0.016,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
6144,230,0,0.016,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
6144,227,0,0.016,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
6144,210,0,0.016,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
6144,223,0,0.016,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
6144,212,0,0.016,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
6144,257,0,0.016,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
8192,329,0,0.022,pymatching,51f220ffa1d3c8c5b5897f0467d8dc17c45668bae4ce45f74c332f1a12a077dc,"{""b"":""X"",""c"":""dynamic"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""r"":12}",
